event.deviceEventClassId,set.event.categoryObject,set.event.categoryBehavior,set.event.categoryTechnique,set.event.categoryDeviceGroup,set.event.categorySignificance,set.event.categoryOutcome
Console:AdminUserLoggedIn,/Host/Application,/Authentication/Verify,,/Application,/Informational,/Success
Console:AdminUserLoginAttemptFailed,/Host/Application,/Authentication/Verify,,/Application,/Informational,/Failure
Console:ApplicationAdded,/Host/Application,/Modify/Content,,/Application,/Informational,/Success
Console:ApplicationInstallOnDeviceRequested,/Host/Application,/Modify/Content,,/Application,/Informational,/Attempt
Console:ApplicationPublished,/Host/Application,/Communicate/Query,,/Application,/Informational,/Success
Console:ApplicationRemoveFromDeviceRequested,/Host/Application,/Modify/Content,,/Application,/Informational,/Attempt
Console:ApplicationSetToInactive,/Host/Application,/Modify/Configuration,,/Application,/Informational,/Success
Console:DeleteDeviceRequested,/Host/Application,/Authorization/Delete,/Policy,/Application,/Informational/Warning,/Attempt
Console:DeviceEnterpriseWipeRequested,/Host/Application,/Delete,/Policy,/Application,/Informational/Warning,/Attempt
Console:RepositoryTestConnectionFailed,/Host/Application,/Communicate/Query,,/Application,/Informational,/Failure
Device:ApplicationDownload,/Host/Application,/Communicate/Query,,/Application,/Informational,/Success
Device:ApproveUpdateCommandConfirmed,/Host/Application,/Communicate/Query,,/Application,/Informational,/Success
Device:AuthTokenIssued,/Host/Application,/Authorization/Add,,/Application,/Informational,/Success
Device:AuthTokenRevoked,/Host/Application,/Authorization/Delete,,/Application,/Informational/Warning,/Success
Device:AvailableOsUpdatesConfirmed,/Host/Application,/Communicate/Query,,/Application,/Informational,/Success
Device:AvailableOsUpdatesRequested,/Host/Application,/Communicate/Query,,/Application,/Informational,/Success
Device:BaselineInstallFailed,/Host/Application,/Check/Configuration,,/Application,/Informational/Error,/Failure
Device:BreakMDMConfirmed,/Host/Application,/Communicate/Query,,/Application,/Informational,/Success
Device:CertificateIssued,/Host/Application,/Authorization/Add,,/Application,/Informational,/Success
Device:DeviceAttributeDeviceMCCModified,/Host/Application,/Modify/Configuration,,/Application,/Informational,/Success
Device:DeviceModelChanged,/Host/Application,/Modify/Configuration,,/Application,/Informational,/Success
Device:DeviceOemChanged,/Host/Application,/Modify/Configuration,,/Application,/Informational,/Success
Device:EnrollmentComplete,/Host/Application,/Communicate/Query,,/Application,/Informational,/Success
Device:EULAAccepted,/Host/Application/License,/Communicate/Query,,/Application,/Informational,/Success
Device:HealthAttestationSampleRequestConfirmed,/Host/Application,/Communicate/Query,,/Application,/Informational,/Success
Device:InstallApplicationConfirmed,/Host/Application,/Modify/Configuration,,/Application,/Informational,/Success
Device:InstallApplicationFailed,/Host/Application,/Modify/Configuration,,/Application,/Informational/Warning,/Failure
Device:InstallApplicationRequested,/Host/Application,/Communicate/Query,,/Application,/Informational,/Success
Device:InstallProfileConfirmed,/Host/Application,/Modify/Configuration,,/Application,/Informational,/Success
Device:RemoveApplicationConfirmed,/Host/Application,/Modify/Configuration,,/Application,/Informational,/Success
Device:Revoked,/Host/Application,/Authorization/Delete,/Policy,/Application,/Informational/Warning,/Success
Device:ScepThumbprintSampleConfirmed,/Host/Application,/Execute/Query,,/Application,/Informational,/Success
Device:SecurityInformationConfirmed,/Host/Application,/Check/Security,,/Application,/Informational,/Success
Device:SecurityInformationRequested,/Host/Application,/Execute/Query,,/Application,/Informational,/Success
Device:WindowsInformationConfirmed,/Host/Application,/Communicate/Query,,/Application,/Informational,/Success
